Level:0  |Health:0  |Endurance:0  |Base Attack:0  | xp:0.
Level:43  |Health:2063  |Endurance:1122  |Base Attack:1864  | xp:1315.
Level:44  |Health:2155  |Endurance:1148  |Base Attack:1951  | xp:1346.
Level:45  |Health:2249  |Endurance:1174  |Base Attack:2041  | xp:1377.
Level:46  |Health:2345  |Endurance:1200  |Base Attack:2132  | xp:1407.
Level:47  |Health:2443  |Endurance:1226  |Base Attack:2225  | xp:1438.
Level:48  |Health:2543  |Endurance:1252  |Base Attack:2321  | xp:1468.
Level:49  |Health:2645  |Endurance:1278  |Base Attack:2418  | xp:1499.
Level:50  |Health:2749  |Endurance:1305  |Base Attack:2518  | xp:1530.
Level:51  |Health:2855  |Endurance:1331  |Base Attack:2619  | xp:1560.
Level:52  |Health:2963  |Endurance:1357  |Base Attack:2722  | xp:1591.
Level:53  |Health:3073  |Endurance:1383  |Base Attack:2828  | xp:1621.
Level:54  |Health:3185  |Endurance:1409  |Base Attack:2935  | xp:1652.
Level:55  |Health:3299  |Endurance:1435  |Base Attack:3044  | xp:1683.
Level:56  |Health:3415  |Endurance:1461  |Base Attack:3156  | xp:1713.
Level:57  |Health:3533  |Endurance:1487  |Base Attack:3269  | xp:1744.
Level:58  |Health:3653  |Endurance:1513  |Base Attack:3384  | xp:1774.
Level:59  |Health:3775  |Endurance:1539  |Base Attack:3502  | xp:1805.
Level:60  |Health:3899  |Endurance:1566  |Base Attack:3621  | xp:1836.
Level:61  |Health:4025  |Endurance:1592  |Base Attack:3742  | xp:1866.
Level:62  |Health:4153  |Endurance:1618  |Base Attack:3866  | xp:1897.
Level:63  |Health:4283  |Endurance:1644  |Base Attack:3991  | xp:1927.
Level:64  |Health:4415  |Endurance:1670  |Base Attack:4118  | xp:1958.
Level:65  |Health:4549  |Endurance:1696  |Base Attack:4248  | xp:1989.
Level:66  |Health:4685  |Endurance:1722  |Base Attack:4379  | xp:2019.
Level:67  |Health:4823  |Endurance:1748  |Base Attack:4512  | xp:2050.
Level:68  |Health:4963  |Endurance:1774  |Base Attack:4648  | xp:2080.
Level:69  |Health:5105  |Endurance:1800  |Base Attack:4785  | xp:2111.
Level:70  |Health:5249  |Endurance:1827  |Base Attack:4925  | xp:2142.
Level:71  |Health:5395  |Endurance:1853  |Base Attack:5066  | xp:2172.
Level:72  |Health:5543  |Endurance:1879  |Base Attack:5209  | xp:2203.
Level:73  |Health:5693  |Endurance:1905  |Base Attack:5355  | xp:2233.
Level:74  |Health:5845  |Endurance:1931  |Base Attack:5502  | xp:2264.
Level:75  |Health:5999  |Endurance:1957  |Base Attack:5651  | xp:2295.
Level:76  |Health:6155  |Endurance:1983  |Base Attack:5803  | xp:2325.
Level:77  |Health:6313  |Endurance:2009  |Base Attack:5956  | xp:2356.
Level:78  |Health:6473  |Endurance:2035  |Base Attack:6111  | xp:2386.
Level:79  |Health:6635  |Endurance:2061  |Base Attack:6269  | xp:2417.
Level:80  |Health:6799  |Endurance:2088  |Base Attack:6428  | xp:2448.
Level:81  |Health:6965  |Endurance:2114  |Base Attack:6589  | xp:2478.
Level:82  |Health:7133  |Endurance:2140  |Base Attack:6753  | xp:2509.
Level:83  |Health:7303  |Endurance:2166  |Base Attack:6918  | xp:2539.
Level:84  |Health:7475  |Endurance:2192  |Base Attack:7085  | xp:2570.
Level:85  |Health:7649  |Endurance:2218  |Base Attack:7255  | xp:2601.
Level:86  |Health:7825  |Endurance:2244  |Base Attack:7426  | xp:2631.
Level:87  |Health:8003  |Endurance:2270  |Base Attack:7599  | xp:2662.
Level:88  |Health:8183  |Endurance:2296  |Base Attack:7775  | xp:2692.
Level:89  |Health:8365  |Endurance:2322  |Base Attack:7952  | xp:2723.
Level:90  |Health:8549  |Endurance:2349  |Base Attack:8132  | xp:2754.
Level:91  |Health:8735  |Endurance:2375  |Base Attack:8313  | xp:2784.
Level:92  |Health:8923  |Endurance:2401  |Base Attack:8496  | xp:2815.
Level:93  |Health:9113  |Endurance:2427  |Base Attack:8682  | xp:2845.
Level:94  |Health:9305  |Endurance:2453  |Base Attack:8869  | xp:2876.
Level:95  |Health:9499  |Endurance:2479  |Base Attack:9058  | xp:2907.
Level:96  |Health:9695  |Endurance:2505  |Base Attack:9250  | xp:2937.
Level:97  |Health:9893  |Endurance:2531  |Base Attack:9443  | xp:2968.
Level:98  |Health:10093  |Endurance:2557  |Base Attack:9638  | xp:2998.
Level:99  |Health:10295  |Endurance:2583  |Base Attack:9836  | xp:3029.
Level:100  |Health:10499  |Endurance:2610  |Base Attack:10035  | xp:3060.
Level:101  |Health:10705  |Endurance:2636  |Base Attack:10236  | xp:3090.
Level:102  |Health:10913  |Endurance:2662  |Base Attack:10440  | xp:3121.
Level:103  |Health:11123  |Endurance:2688  |Base Attack:10645  | xp:3151.
Level:104  |Health:11335  |Endurance:2714  |Base Attack:10852  | xp:3182.
Level:105  |Health:11549  |Endurance:2740  |Base Attack:11062  | xp:3213.
Level:106  |Health:11765  |Endurance:2766  |Base Attack:11273  | xp:3243.
Level:107  |Health:11983  |Endurance:2792  |Base Attack:11486  | xp:3274.
Level:108  |Health:12203  |Endurance:2818  |Base Attack:11702  | xp:3304.
Level:109  |Health:12425  |Endurance:2844  |Base Attack:11919  | xp:3335.
Level:110  |Health:12649  |Endurance:2871  |Base Attack:12139  | xp:3366.
Level:111  |Health:12875  |Endurance:2897  |Base Attack:12360  | xp:3396.
Level:112  |Health:13103  |Endurance:2923  |Base Attack:12583  | xp:3427.
Level:113  |Health:13333  |Endurance:2949  |Base Attack:12809  | xp:3457.
Level:114  |Health:13565  |Endurance:2975  |Base Attack:13036  | xp:3488.
Level:115  |Health:13799  |Endurance:3001  |Base Attack:13265  | xp:3519.
Level:116  |Health:14035  |Endurance:3027  |Base Attack:13497  | xp:3549.
Level:117  |Health:14273  |Endurance:3053  |Base Attack:13730  | xp:3580.
Level:118  |Health:14513  |Endurance:3079  |Base Attack:13965  | xp:3610.
Level:119  |Health:14755  |Endurance:3105  |Base Attack:14203  | xp:3641.
Level:120  |Health:14999  |Endurance:3132  |Base Attack:14442  | xp:3672.
Level:121  |Health:15245  |Endurance:3158  |Base Attack:14683  | xp:3702.
Level:122  |Health:15493  |Endurance:3184  |Base Attack:14927  | xp:3733.
Level:123  |Health:15743  |Endurance:3210  |Base Attack:15172  | xp:3763.
Level:124  |Health:15995  |Endurance:3236  |Base Attack:15419  | xp:3794.
Level:125  |Health:16249  |Endurance:3262  |Base Attack:15669  | xp:3825.
Level:126  |Health:16505  |Endurance:3288  |Base Attack:15920  | xp:3855.
Level:127  |Health:16763  |Endurance:3314  |Base Attack:16173  | xp:3886.
Level:128  |Health:17023  |Endurance:3340  |Base Attack:16429  | xp:3916.
Level:129  |Health:17285  |Endurance:3366  |Base Attack:16686  | xp:3947.
Level:130  |Health:17549  |Endurance:3393  |Base Attack:16946  | xp:3978.
Level:131  |Health:17815  |Endurance:3419  |Base Attack:17207  | xp:4008.
Level:132  |Health:18083  |Endurance:3445  |Base Attack:17470  | xp:4039.
Level:133  |Health:18353  |Endurance:3471  |Base Attack:17736  | xp:4069.
Level:134  |Health:18625  |Endurance:3497  |Base Attack:18003  | xp:4100.
Level:135  |Health:18899  |Endurance:3523  |Base Attack:18272  | xp:4131.
Level:136  |Health:19175  |Endurance:3549  |Base Attack:18544  | xp:4161.
Level:137  |Health:19453  |Endurance:3575  |Base Attack:18817  | xp:4192.
Level:138  |Health:19733  |Endurance:3601  |Base Attack:19092  | xp:4222.
Level:139  |Health:20015  |Endurance:3627  |Base Attack:19370  | xp:4253.
Level:140  |Health:20299  |Endurance:3654  |Base Attack:19649  | xp:4284.
Level:141  |Health:20585  |Endurance:3680  |Base Attack:19930  | xp:4314.
Level:142  |Health:20873  |Endurance:3706  |Base Attack:20214  | xp:4345.
Level:143  |Health:21163  |Endurance:3732  |Base Attack:20499  | xp:4375.
Level:144  |Health:21455  |Endurance:3758  |Base Attack:20786  | xp:4406.
Level:145  |Health:21749  |Endurance:3784  |Base Attack:21076  | xp:4437.
Level:146  |Health:22045  |Endurance:3810  |Base Attack:21367  | xp:4467.
Level:147  |Health:22343  |Endurance:3836  |Base Attack:21660  | xp:4498.
Level:148  |Health:22643  |Endurance:3862  |Base Attack:21956  | xp:4528.
Level:149  |Health:22945  |Endurance:3888  |Base Attack:22253  | xp:4559.
Level:150  |Health:23249  |Endurance:3915  |Base Attack:22553  | xp:4590.
Level:151  |Health:23555  |Endurance:3941  |Base Attack:22854  | xp:4620.
Level:152  |Health:23863  |Endurance:3967  |Base Attack:23157  | xp:4651.
Level:153  |Health:24173  |Endurance:3993  |Base Attack:23463  | xp:4681.
Level:154  |Health:24485  |Endurance:4019  |Base Attack:23770  | xp:4712.
Level:155  |Health:24799  |Endurance:4045  |Base Attack:24079  | xp:4743.
Level:156  |Health:25115  |Endurance:4071  |Base Attack:24391  | xp:4773.
Level:157  |Health:25433  |Endurance:4097  |Base Attack:24704  | xp:4804.
Level:158  |Health:25753  |Endurance:4123  |Base Attack:25019  | xp:4834.
Level:159  |Health:26075  |Endurance:4149  |Base Attack:25337  | xp:4865.
Level:160  |Health:26399  |Endurance:4176  |Base Attack:25656  | xp:4896.
Level:161  |Health:26725  |Endurance:4202  |Base Attack:25977  | xp:4926.
Level:162  |Health:27053  |Endurance:4228  |Base Attack:26301  | xp:4957.
Level:163  |Health:27383  |Endurance:4254  |Base Attack:26626  | xp:4987.
Level:164  |Health:27715  |Endurance:4280  |Base Attack:26953  | xp:5018.
Level:165  |Health:28049  |Endurance:4306  |Base Attack:27283  | xp:5049.
Level:166  |Health:28385  |Endurance:4332  |Base Attack:27614  | xp:5079.
Level:167  |Health:28723  |Endurance:4358  |Base Attack:27947  | xp:5110.
Level:168  |Health:29063  |Endurance:4384  |Base Attack:28283  | xp:5140.
Level:169  |Health:29405  |Endurance:4410  |Base Attack:28620  | xp:5171.
Level:170  |Health:29749  |Endurance:4437  |Base Attack:28960  | xp:5202.
Level:171  |Health:30095  |Endurance:4463  |Base Attack:29301  | xp:5232.
Level:172  |Health:30443  |Endurance:4489  |Base Attack:29644  | xp:5263.
Level:173  |Health:30793  |Endurance:4515  |Base Attack:29990  | xp:5293.
Level:174  |Health:31145  |Endurance:4541  |Base Attack:30337  | xp:5324.
Level:175  |Health:31499  |Endurance:4567  |Base Attack:30686  | xp:5355.
Level:176  |Health:31855  |Endurance:4593  |Base Attack:31038  | xp:5385.
Level:177  |Health:32213  |Endurance:4619  |Base Attack:31391  | xp:5416.
Level:178  |Health:32573  |Endurance:4645  |Base Attack:31746  | xp:5446.
Level:179  |Health:32935  |Endurance:4671  |Base Attack:32104  | xp:5477.
Level:180  |Health:33299  |Endurance:4698  |Base Attack:32463  | xp:5508.
Level:181  |Health:33665  |Endurance:4724  |Base Attack:32824  | xp:5538.
Level:182  |Health:34033  |Endurance:4750  |Base Attack:33188  | xp:5569.
Level:183  |Health:34403  |Endurance:4776  |Base Attack:33553  | xp:5599.
Level:184  |Health:34775  |Endurance:4802  |Base Attack:33920  | xp:5630.
Level:185  |Health:35149  |Endurance:4828  |Base Attack:34290  | xp:5661.
Level:186  |Health:35525  |Endurance:4854  |Base Attack:34661  | xp:5691.
Level:187  |Health:35903  |Endurance:4880  |Base Attack:35034  | xp:5722.
Level:188  |Health:36283  |Endurance:4906  |Base Attack:35410  | xp:5752.
Level:189  |Health:36665  |Endurance:4932  |Base Attack:35787  | xp:5783.
Level:190  |Health:37049  |Endurance:4959  |Base Attack:36167  | xp:5814.
Level:191  |Health:37435  |Endurance:4985  |Base Attack:36548  | xp:5844.
Level:192  |Health:37823  |Endurance:5011  |Base Attack:36931  | xp:5875.
Level:193  |Health:38213  |Endurance:5037  |Base Attack:37317  | xp:5905.
Level:194  |Health:38605  |Endurance:5063  |Base Attack:37704  | xp:5936.
Level:195  |Health:38999  |Endurance:5089  |Base Attack:38093  | xp:5967.
Level:196  |Health:39395  |Endurance:5115  |Base Attack:38485  | xp:5997.
Level:197  |Health:39793  |Endurance:5141  |Base Attack:38878  | xp:6028.
Level:198  |Health:40193  |Endurance:5167  |Base Attack:39273  | xp:6058.
Level:199  |Health:40595  |Endurance:5193  |Base Attack:39671  | xp:6089.
Level:200  |Health:40999  |Endurance:5220  |Base Attack:40070  | xp:6120.
Level:201  |Health:41405  |Endurance:5246  |Base Attack:40471  | xp:6150.
Level:202  |Health:41813  |Endurance:5272  |Base Attack:40875  | xp:6181.
Level:203  |Health:42223  |Endurance:5298  |Base Attack:41280  | xp:6211.
Level:204  |Health:42635  |Endurance:5324  |Base Attack:41687  | xp:6242.
Level:205  |Health:43049  |Endurance:5350  |Base Attack:42097  | xp:6273.
Level:206  |Health:43465  |Endurance:5376  |Base Attack:42508  | xp:6303.
Level:207  |Health:43883  |Endurance:5402  |Base Attack:42921  | xp:6334.
Level:208  |Health:44303  |Endurance:5428  |Base Attack:43337  | xp:6364.
Level:209  |Health:44725  |Endurance:5454  |Base Attack:43754  | xp:6395.
Level:210  |Health:45149  |Endurance:5481  |Base Attack:44174  | xp:6426.
Level:211  |Health:45575  |Endurance:5507  |Base Attack:44595  | xp:6456.
Level:212  |Health:46003  |Endurance:5533  |Base Attack:45018  | xp:6487.
Level:213  |Health:46433  |Endurance:5559  |Base Attack:45444  | xp:6517.
Level:214  |Health:46865  |Endurance:5585  |Base Attack:45871  | xp:6548.
Level:215  |Health:47299  |Endurance:5611  |Base Attack:46300  | xp:6579.
Level:216  |Health:47735  |Endurance:5637  |Base Attack:46732  | xp:6609.
Level:217  |Health:48173  |Endurance:5663  |Base Attack:47165  | xp:6640.
Level:218  |Health:48613  |Endurance:5689  |Base Attack:47600  | xp:6670.
Level:219  |Health:49055  |Endurance:5715  |Base Attack:48038  | xp:6701.
Level:220  |Health:49499  |Endurance:5742  |Base Attack:48477  | xp:6732.
Level:221  |Health:49945  |Endurance:5768  |Base Attack:48918  | xp:6762.
Level:222  |Health:50393  |Endurance:5794  |Base Attack:49362  | xp:6793.
Level:223  |Health:50843  |Endurance:5820  |Base Attack:49807  | xp:6823.
Level:224  |Health:51295  |Endurance:5846  |Base Attack:50254  | xp:6854.
Level:225  |Health:51749  |Endurance:5872  |Base Attack:50704  | xp:6885.
Level:226  |Health:52205  |Endurance:5898  |Base Attack:51155  | xp:6915.
Level:227  |Health:52663  |Endurance:5924  |Base Attack:51608  | xp:6946.
Level:228  |Health:53123  |Endurance:5950  |Base Attack:52064  | xp:6976.
Level:229  |Health:53585  |Endurance:5976  |Base Attack:52521  | xp:7007.
Level:230  |Health:54049  |Endurance:6003  |Base Attack:52981  | xp:7038.
Level:231  |Health:54515  |Endurance:6029  |Base Attack:53442  | xp:7068.
Level:232  |Health:54983  |Endurance:6055  |Base Attack:53905  | xp:7099.
Level:233  |Health:55453  |Endurance:6081  |Base Attack:54371  | xp:7129.
Level:234  |Health:55925  |Endurance:6107  |Base Attack:54838  | xp:7160.
Level:235  |Health:56399  |Endurance:6133  |Base Attack:55307  | xp:7191.
Level:236  |Health:56875  |Endurance:6159  |Base Attack:55779  | xp:7221.
Level:237  |Health:57353  |Endurance:6185  |Base Attack:56252  | xp:7252.
Level:238  |Health:57833  |Endurance:6211  |Base Attack:56727  | xp:7282.
Level:239  |Health:58315  |Endurance:6237  |Base Attack:57205  | xp:7313.
Level:240  |Health:58799  |Endurance:6264  |Base Attack:57684  | xp:7344.
Level:241  |Health:59285  |Endurance:6290  |Base Attack:58165  | xp:7374.
Level:242  |Health:59773  |Endurance:6316  |Base Attack:58649  | xp:7405.
Level:243  |Health:60263  |Endurance:6342  |Base Attack:59134  | xp:7435.
Level:244  |Health:60755  |Endurance:6368  |Base Attack:59621  | xp:7466.
Level:245  |Health:61249  |Endurance:6394  |Base Attack:60111  | xp:7497.
Level:246  |Health:61745  |Endurance:6420  |Base Attack:60602  | xp:7527.
Level:247  |Health:62243  |Endurance:6446  |Base Attack:61095  | xp:7558.
Level:248  |Health:62743  |Endurance:6472  |Base Attack:61591  | xp:7588.
Level:249  |Health:63245  |Endurance:6498  |Base Attack:62088  | xp:7619.
Level:250  |Health:63749  |Endurance:6525  |Base Attack:62588  | xp:7650.
Level:251  |Health:64255  |Endurance:6551  |Base Attack:63089  | xp:7680.
Level:252  |Health:64763  |Endurance:6577  |Base Attack:63592  | xp:7711.
Level:253  |Health:65273  |Endurance:6603  |Base Attack:64098  | xp:7741.
Level:254  |Health:65785  |Endurance:6629  |Base Attack:64605  | xp:7772.
Level:255  |Health:66299  |Endurance:6655  |Base Attack:65114  | xp:7803.
Level:256  |Health:66815  |Endurance:6681  |Base Attack:65626  | xp:7833.
Level:257  |Health:67333  |Endurance:6707  |Base Attack:66139  | xp:7864.
Level:258  |Health:67853  |Endurance:6733  |Base Attack:66654  | xp:7894.
Level:259  |Health:68375  |Endurance:6759  |Base Attack:67172  | xp:7925.
Level:260  |Health:68899  |Endurance:6786  |Base Attack:67691  | xp:7956.
Level:261  |Health:69425  |Endurance:6812  |Base Attack:68212  | xp:7986.
Level:262  |Health:69953  |Endurance:6838  |Base Attack:68736  | xp:8017.
Level:263  |Health:70483  |Endurance:6864  |Base Attack:69261  | xp:8047.
Level:264  |Health:71015  |Endurance:6890  |Base Attack:69788  | xp:8078.
Level:265  |Health:71549  |Endurance:6916  |Base Attack:70318  | xp:8109.
Level:266  |Health:72085  |Endurance:6942  |Base Attack:70849  | xp:8139.
Level:267  |Health:72623  |Endurance:6968  |Base Attack:71382  | xp:8170.
Level:268  |Health:73163  |Endurance:6994  |Base Attack:71918  | xp:8200.
Level:269  |Health:73705  |Endurance:7020  |Base Attack:72455  | xp:8231.
Level:270  |Health:74249  |Endurance:7047  |Base Attack:72995  | xp:8262.
Level:271  |Health:74795  |Endurance:7073  |Base Attack:73536  | xp:8292.
Level:272  |Health:75343  |Endurance:7099  |Base Attack:74079  | xp:8323.
Level:273  |Health:75893  |Endurance:7125  |Base Attack:74625  | xp:8353.
Level:274  |Health:76445  |Endurance:7151  |Base Attack:75172  | xp:8384.
Level:275  |Health:76999  |Endurance:7177  |Base Attack:75721  | xp:8415.
Level:276  |Health:77555  |Endurance:7203  |Base Attack:76273  | xp:8445.
Level:277  |Health:78113  |Endurance:7229  |Base Attack:76826  | xp:8476.
Level:278  |Health:78673  |Endurance:7255  |Base Attack:77381  | xp:8506.
Level:279  |Health:79235  |Endurance:7281  |Base Attack:77939  | xp:8537.
Level:280  |Health:79799  |Endurance:7308  |Base Attack:78498  | xp:8568.
Level:281  |Health:80365  |Endurance:7334  |Base Attack:79059  | xp:8598.
Level:282  |Health:80933  |Endurance:7360  |Base Attack:79623  | xp:8629.
Level:283  |Health:81503  |Endurance:7386  |Base Attack:80188  | xp:8659.
Level:284  |Health:82075  |Endurance:7412  |Base Attack:80755  | xp:8690.
Level:285  |Health:82649  |Endurance:7438  |Base Attack:81325  | xp:8721.
Level:286  |Health:83225  |Endurance:7464  |Base Attack:81896  | xp:8751.
Level:287  |Health:83803  |Endurance:7490  |Base Attack:82469  | xp:8782.
Level:288  |Health:84383  |Endurance:7516  |Base Attack:83045  | xp:8812.
Level:289  |Health:84965  |Endurance:7542  |Base Attack:83622  | xp:8843.
Level:290  |Health:85549  |Endurance:7569  |Base Attack:84202  | xp:8874.
Level:291  |Health:86135  |Endurance:7595  |Base Attack:84783  | xp:8904.
Level:292  |Health:86723  |Endurance:7621  |Base Attack:85366  | xp:8935.
Level:293  |Health:87313  |Endurance:7647  |Base Attack:85952  | xp:8965.
Level:294  |Health:87905  |Endurance:7673  |Base Attack:86539  | xp:8996.
Level:295  |Health:88499  |Endurance:7699  |Base Attack:87128  | xp:9027.
Level:296  |Health:89095  |Endurance:7725  |Base Attack:87720  | xp:9057.
Level:297  |Health:89693  |Endurance:7751  |Base Attack:88313  | xp:9088.
Level:298  |Health:90293  |Endurance:7777  |Base Attack:88908  | xp:9118.
Level:299  |Health:90895  |Endurance:7803  |Base Attack:89506  | xp:9149.
Level:300  |Health:91499  |Endurance:7830  |Base Attack:90105  | xp:9180.
Level:301  |Health:92105  |Endurance:7856  |Base Attack:90706  | xp:9210.
Level:302  |Health:92713  |Endurance:7882  |Base Attack:91310  | xp:9241.
Level:303  |Health:93323  |Endurance:7908  |Base Attack:91915  | xp:9271.
Level:304  |Health:93935  |Endurance:7934  |Base Attack:92522  | xp:9302.
Level:305  |Health:94549  |Endurance:7960  |Base Attack:93132  | xp:9333.
Level:306  |Health:95165  |Endurance:7986  |Base Attack:93743  | xp:9363.
Level:307  |Health:95783  |Endurance:8012  |Base Attack:94356  | xp:9394.
Level:308  |Health:96403  |Endurance:8038  |Base Attack:94972  | xp:9424.
Level:309  |Health:97025  |Endurance:8064  |Base Attack:95589  | xp:9455.
Level:310  |Health:97649  |Endurance:8091  |Base Attack:96209  | xp:9486.
Level:311  |Health:98275  |Endurance:8117  |Base Attack:96830  | xp:9516.
Level:312  |Health:98903  |Endurance:8143  |Base Attack:97453  | xp:9547.
Level:313  |Health:99533  |Endurance:8169  |Base Attack:98079  | xp:9577.
Level:314  |Health:100165  |Endurance:8195  |Base Attack:98706  | xp:9608.
Level:315  |Health:100799  |Endurance:8221  |Base Attack:99335  | xp:9639.
Level:316  |Health:101435  |Endurance:8247  |Base Attack:99967  | xp:9669.
Level:317  |Health:102073  |Endurance:8273  |Base Attack:100600  | xp:9700.
Level:318  |Health:102713  |Endurance:8299  |Base Attack:101235  | xp:9730.
Level:319  |Health:103355  |Endurance:8325  |Base Attack:101873  | xp:9761.
Level:320  |Health:103999  |Endurance:8352  |Base Attack:102512  | xp:9792.
Level:321  |Health:104645  |Endurance:8378  |Base Attack:103153  | xp:9822.
Level:322  |Health:105293  |Endurance:8404  |Base Attack:103797  | xp:9853.
Level:323  |Health:105943  |Endurance:8430  |Base Attack:104442  | xp:9883.
Level:324  |Health:106595  |Endurance:8456  |Base Attack:105089  | xp:9914.
Level:325  |Health:107249  |Endurance:8482  |Base Attack:105739  | xp:9945.
Level:326  |Health:107905  |Endurance:8508  |Base Attack:106390  | xp:9975.
Level:327  |Health:108563  |Endurance:8534  |Base Attack:107043  | xp:10006.
Level:328  |Health:109223  |Endurance:8560  |Base Attack:107699  | xp:10036.
Level:329  |Health:109885  |Endurance:8586  |Base Attack:108356  | xp:10067.
Level:330  |Health:110549  |Endurance:8613  |Base Attack:109016  | xp:10098.
Level:331  |Health:111215  |Endurance:8639  |Base Attack:109677  | xp:10128.
Level:332  |Health:111883  |Endurance:8665  |Base Attack:110340  | xp:10159.
Level:333  |Health:112553  |Endurance:8691  |Base Attack:111006  | xp:10189.
Level:334  |Health:113225  |Endurance:8717  |Base Attack:111673  | xp:10220.
Level:335  |Health:113899  |Endurance:8743  |Base Attack:112342  | xp:10251.
Level:336  |Health:114575  |Endurance:8769  |Base Attack:113014  | xp:10281.
Level:337  |Health:115253  |Endurance:8795  |Base Attack:113687  | xp:10312.
Level:338  |Health:115933  |Endurance:8821  |Base Attack:114362  | xp:10342.
Level:339  |Health:116615  |Endurance:8847  |Base Attack:115040  | xp:10373.
Level:340  |Health:117299  |Endurance:8874  |Base Attack:115719  | xp:10404.
Level:341  |Health:117985  |Endurance:8900  |Base Attack:116400  | xp:10434.
Level:342  |Health:118673  |Endurance:8926  |Base Attack:117084  | xp:10465.
Level:343  |Health:119363  |Endurance:8952  |Base Attack:117769  | xp:10495.
Level:344  |Health:120055  |Endurance:8978  |Base Attack:118456  | xp:10526.
Level:345  |Health:120749  |Endurance:9004  |Base Attack:119146  | xp:10557.
Level:346  |Health:121445  |Endurance:9030  |Base Attack:119837  | xp:10587.
Level:347  |Health:122143  |Endurance:9056  |Base Attack:120530  | xp:10618.
Level:348  |Health:122843  |Endurance:9082  |Base Attack:121226  | xp:10648.
Level:349  |Health:123545  |Endurance:9108  |Base Attack:121923  | xp:10679.
Level:350  |Health:124249  |Endurance:9135  |Base Attack:122623  | xp:10710.
Level:351  |Health:124955  |Endurance:9161  |Base Attack:123324  | xp:10740.
Level:352  |Health:125663  |Endurance:9187  |Base Attack:124027  | xp:10771.
Level:353  |Health:126373  |Endurance:9213  |Base Attack:124733  | xp:10801.
Level:354  |Health:127085  |Endurance:9239  |Base Attack:125440  | xp:10832.
Level:355  |Health:127799  |Endurance:9265  |Base Attack:126149  | xp:10863.
Level:356  |Health:128515  |Endurance:9291  |Base Attack:126861  | xp:10893.
Level:357  |Health:129233  |Endurance:9317  |Base Attack:127574  | xp:10924.
Level:358  |Health:129953  |Endurance:9343  |Base Attack:128289  | xp:10954.
Level:359  |Health:130675  |Endurance:9369  |Base Attack:129007  | xp:10985.
Level:360  |Health:131399  |Endurance:9396  |Base Attack:129726  | xp:11016.
